"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\README.md", "Markdown", 0, 0, 0, 79, 0, 0, 0, 43, 122
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\package-lock.json", "JSON", 0, 0, 0, 0, 0, 30604, 0, 1, 30605
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\package.json", "JSON", 0, 0, 0, 0, 0, 50, 0, 2, 52
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\backup\ProductsPage\ProductsPage.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\backup\ProductsPage\ProductsPage.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\AboutUs\AboutUs.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\AboutUs\AboutUs.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\AboutUs\constantsAboutUs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\App\App.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\App\App.js", "JavaScript", 236, 0, 0, 0, 0, 0, 23, 34, 293
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\App\App.test.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\CardViewModal\CardViewModal.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\CardViewModal\CardViewModal.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\CardsSection\CardsSection.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\CardsSection\CardsSection.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\ContactInfo\ContactInfo.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 10, 49
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\ContactInfo\ContactInfo.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\DeveloperPanel\DeveloperPanel.css", "CSS", 0, 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\DeveloperPanel\DeveloperPanel.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 6, 52
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\DividerCard\DividerCard.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\DividerCard\DividerCard.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\Footer\Footer.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\Footer\Footer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\astro\OneDrive\Development\Personal Websites\site_front_end\src\components\Header\Header.css", "CSS", 0, 0, 83, 0, 0, 0, 0, 15, 98
